timestamp_utc,market_id,condition_id,activo,marco,end_date,restante_s,ask_yes,ask_no,ask_sum,bid_yes,bid_no
2026-07-28T12:39:03+00:00,3124460,0x768ac2403b78c4914172ee3bcf99d33788d43c5d429730df12bef25bd6a07bb6,ETH,60min,2026-07-29T08:00:00+00:00,69656.9,0.51,0.5,1.01,0.5,0.49
2026-07-28T12:39:03+00:00,3124675,0x0bf5418300291864c128f1701942c857d74619015750a3fbc030bd0cfbe2357f,SOL,60min,2026-07-29T09:00:00+00:00,73256.7,0.51,0.5,1.01,0.5,0.49
2026-07-28T12:39:03+00:00,3124674,0x0528667d765efc04e6c84eeba1d4d798be058a0e134314e5cfb32a3ccad4352c,ETH,60min,2026-07-29T09:00:00+00:00,73256.4,0.51,0.5,1.01,0.5,0.49
2026-07-28T12:39:03+00:00,3124455,0x0cb234d6fb275708b66e49c9c91803ecb07d99b9238d9650108f70576bd4725a,BTC,60min,2026-07-29T06:00:00+00:00,62456.2,0.51,0.5,1.01,0.5,0.49
2026-07-28T12:39:03+00:00,3124456,0xa8422f4aa27eed5257c2f18173096fe66b072ff52ad8e44d688d54c6f46d4b3e,BTC,60min,2026-07-29T07:00:00+00:00,66056.0,0.51,0.5,1.01,0.5,0.49
2026-07-28T12:39:04+00:00,3124457,0x4d5c07b78cc3a5717ca570a302265688825898639cd95e77a0a0e497fc8a1a51,BTC,60min,2026-07-29T08:00:00+00:00,69655.8,0.51,0.5,1.01,0.5,0.49
2026-07-28T12:39:04+00:00,3124673,0x98958f3be1aef14d280f5f75c1b5207fc5e2a7a42d1480056b97692e58dd031a,BTC,60min,2026-07-29T09:00:00+00:00,73255.6,0.51,0.5,1.01,0.5,0.49
2026-07-28T12:39:04+00:00,3126264,0x3cfc528d533f11d072ce73395fb90834ddd72d11e0f682bb2b39015bc3791afa,SOL,15min,2026-07-28T12:45:00+00:00,355.4,0.43,0.61,1.04,0.39,0.57
2026-07-28T12:39:04+00:00,3126270,0xeeda0db293decc6d040c109014fa16b4dfb56a6345250c0596153ea10c25c6bb,SOL,5min,2026-07-28T12:40:00+00:00,55.2,0.2,0.85,1.05,0.15,0.8
2026-07-28T12:39:04+00:00,3126278,0x6cfb66de3b3a1360fbd5dd2cdd0a00cb9902dc8ed295faed68ace1003ed4acad,SOL,5min,2026-07-28T12:45:00+00:00,355.0,0.51,0.5,1.01,0.5,0.49
2026-07-28T12:39:05+00:00,3126287,0x0a2ae46076b92a4530954ccf5790cc8a8572e392fb62a4715930a777ee59b6dd,SOL,15min,2026-07-28T13:00:00+00:00,1254.9,0.51,0.5,1.01,0.5,0.49
2026-07-28T12:39:05+00:00,3126295,0x995b97100314fb40568c099ce633bf2ff6df877de5d573f8e8147fc656bbc1be,SOL,5min,2026-07-28T12:50:00+00:00,654.7,0.51,0.51,1.02,0.49,0.49
2026-07-28T12:39:05+00:00,3126265,0x2e1a89f5a65ca6e4875e7e071a8f255cf6d187c5104fd2a22cf2e414b7cf69a2,ETH,15min,2026-07-28T12:45:00+00:00,354.5,0.73,0.28,1.01,0.72,0.27
2026-07-28T12:39:05+00:00,3126302,0xd402389649774eba93e3e0c08911df23e13793e26c491a5aaa91a98bd40ce750,SOL,5min,2026-07-28T12:55:00+00:00,954.3,0.51,0.51,1.02,0.49,0.49
2026-07-28T12:39:05+00:00,3126304,0xa5bb56a5421429df088c567ba02eb808fae24811a6c43195bfd7e85f474e01cf,SOL,5min,2026-07-28T13:00:00+00:00,1254.1,0.51,0.51,1.02,0.49,0.49
2026-07-28T12:39:06+00:00,3126314,0x20808dbcc97127be9ffb8897fa84c9c52745b19952be8b893dad373001bccdc1,SOL,5min,2026-07-28T13:05:00+00:00,1553.9,0.51,0.5,1.01,0.5,0.49
2026-07-28T12:39:06+00:00,3126274,0x55ca994ce6c59a2b68768dcf193d73b5b35f7b26db79a414d073b456ed10a28b,ETH,5min,2026-07-28T12:40:00+00:00,53.7,0.4,0.61,1.01,0.39,0.6
2026-07-28T12:39:06+00:00,3126323,0xa638641d938048aa34938165d946d90fac88bfc395502de58613837943daeeaf,SOL,15min,2026-07-28T13:15:00+00:00,2153.5,0.51,0.51,1.02,0.49,0.49
2026-07-28T12:39:06+00:00,3126277,0x966982d970b776fe071337674839fe193fedefdd1b1a57cbc375962571e08da5,ETH,5min,2026-07-28T12:45:00+00:00,353.3,0.5,0.51,1.01,0.49,0.5
2026-07-28T12:39:06+00:00,3126328,0xc06b9d04ae737ea75f2b0bdaf215eddf255d8ff309b62c8a1643171847d93c15,SOL,5min,2026-07-28T13:10:00+00:00,1853.1,0.51,0.5,1.01,0.5,0.49
2026-07-28T12:39:07+00:00,3126290,0xf1111d4ee5dc72eb310775bc3836442e1d64af966c81ee6b305b5d6ec72b588c,ETH,15min,2026-07-28T13:00:00+00:00,1252.9,0.5,0.51,1.01,0.49,0.5
2026-07-28T12:39:07+00:00,3126291,0xbe713e6e4a8a1606810204aa871a7a64366c394bc49b88dd9499f114a9a2573f,ETH,5min,2026-07-28T12:50:00+00:00,652.7,0.5,0.51,1.01,0.49,0.5
2026-07-28T12:39:07+00:00,3126333,0x01538ebccaffef14118ce873bd2acd0d16c2dbac121d2144aa156a2f8a838f91,SOL,5min,2026-07-28T13:15:00+00:00,2152.5,0.51,0.51,1.02,0.49,0.49
2026-07-28T12:39:07+00:00,3126340,0x4310f0d750fc1a9ad982f6052ad3605809951cfeeba84228ed77aea65d0e5c9e,SOL,5min,2026-07-28T13:20:00+00:00,2452.3,0.51,0.5,1.01,0.5,0.49
2026-07-28T12:39:07+00:00,3126303,0xfd89868bc0ac53fe373dd780e2c0d825a4175b95be229ac787c00e2f75eb8225,ETH,5min,2026-07-28T12:55:00+00:00,952.1,0.51,0.51,1.02,0.49,0.49
2026-07-28T12:39:08+00:00,3126307,0xe889dde40fa58c1da22a93381edad9afb3b2c93e120f094f48116c567b21a342,ETH,5min,2026-07-28T13:00:00+00:00,1251.9,0.51,0.52,1.03,0.48,0.49
2026-07-28T12:39:08+00:00,3126346,0xcf0dd42e4f50a9735e54681cac6af1d2fd4dc66524be315f5d0fd0a126967893,SOL,15min,2026-07-28T13:30:00+00:00,3051.7,0.51,0.5,1.01,0.5,0.49
2026-07-28T12:39:08+00:00,3126353,0x06a554bfe2748a206b00ed2fd5757d3d3c09147b39fdc7a3ee98aa3a8e98758c,SOL,5min,2026-07-28T13:25:00+00:00,2751.5,0.51,0.5,1.01,0.5,0.49
2026-07-28T12:39:08+00:00,3126316,0xcaa67f5804cae2cfaf9a35e44a932aa617388abd845109559e2aec1501311b22,ETH,15min,2026-07-28T13:15:00+00:00,2151.2,0.51,0.51,1.02,0.49,0.49
2026-07-28T12:39:08+00:00,3126321,0xa69d05b49e5c13d6523329efe2aff01f71497876667a70993d430cf1132f9cd6,ETH,5min,2026-07-28T13:05:00+00:00,1551.0,0.51,0.5,1.01,0.5,0.49
2026-07-28T12:39:09+00:00,3126555,0xc50ff1dfc394900b76445a9ffe3a2a94d741f4473aaf8a670b20db986154bfe0,SOL,60min,2026-07-29T10:00:00+00:00,76850.8,0.51,0.5,1.01,0.5,0.49
2026-07-28T12:39:09+00:00,3126327,0x8a1863d0787f53df78433aa32ef763583d9d3be66c5931977240d8abd71464b5,ETH,5min,2026-07-28T13:10:00+00:00,1850.7,0.51,0.51,1.02,0.49,0.49
2026-07-28T12:39:09+00:00,3126559,0xa52c0fbb200315aba06c3e265835da7cc0093f5065ed8778a6bfb4cfacee5f1d,SOL,60min,2026-07-29T11:00:00+00:00,80450.5,0.51,0.5,1.01,0.5,0.49
2026-07-28T12:39:09+00:00,3126332,0xe542e539ced63034d3a319c5a85839824886407ba297456ded4b876ae47fbb4c,ETH,5min,2026-07-28T13:15:00+00:00,2150.2,0.51,0.5,1.01,0.5,0.49
2026-07-28T12:39:09+00:00,3126566,0xda30243c8ec7ead5de88693c6a8cded607c442115a5a112270d1a34cfe907ff7,SOL,60min,2026-07-29T12:00:00+00:00,84050.0,0.51,0.5,1.01,0.5,0.49
2026-07-28T12:39:10+00:00,3126345,0xa307c1fbc0663371cc003b49fc33d2fb624576a355d0dc09b26e2c7b8cc5db95,ETH,15min,2026-07-28T13:30:00+00:00,3049.8,0.51,0.5,1.01,0.5,0.49
2026-07-28T12:39:10+00:00,3126349,0xd33ce7ac94d4743045cc036350b00002278f6076157fb22e73384e6cf4261953,ETH,5min,2026-07-28T13:20:00+00:00,2449.6,0.51,0.5,1.01,0.5,0.49
2026-07-28T12:39:10+00:00,3126570,0xb146f633de1d740c3461ae07d14e4228e30ae1783043ed8cf5d2918ad6c2bd17,SOL,60min,2026-07-29T13:00:00+00:00,87649.4,0.51,0.5,1.01,0.5,0.49
2026-07-28T12:39:10+00:00,3126575,0x5f16f4665dd7f4b137061b79907667f3cc90e3b652fd3cbe7e054869fb142c4e,SOL,60min,2026-07-29T14:00:00+00:00,91249.2,0.51,0.5,1.01,0.5,0.49
2026-07-28T12:39:11+00:00,3126355,0x28baef86b91f39d9e491167afc6b9b1a08a4e7c00c374776d6b20778f42e9f6a,ETH,5min,2026-07-28T13:25:00+00:00,2749.0,0.51,0.5,1.01,0.5,0.49
2026-07-28T12:39:11+00:00,3126610,0xd5c2df0b9c6399f779620d62bdc946f35a72beec22e73ccdcedab465887e8094,SOL,5min,2026-07-28T13:30:00+00:00,3048.7,0.51,0.5,1.01,0.5,0.49
2026-07-28T12:39:11+00:00,3126477,0xb949a51d785c7973dae45543ce4bd0086b04f0b520f123bc56366f7109f35df6,ETH,60min,2026-07-29T10:00:00+00:00,76848.6,0.51,0.5,1.01,0.5,0.49
2026-07-28T12:39:11+00:00,3126792,0x1c9cc738f477bd1bf36a3957c9f010f8cfaf3e2bf675236f2e80c15e48f1f493,SOL,15min,2026-07-28T13:45:00+00:00,3948.3,0.51,0.5,1.01,0.5,0.49
2026-07-28T12:39:11+00:00,3126259,0x7f4a0faa0782fd295dac8587db732728d18d7547f689f3f9ec9cd210cd08e69b,BTC,15min,2026-07-28T12:45:00+00:00,348.1,0.41,0.6,1.01,0.4,0.59
2026-07-28T12:39:12+00:00,3126492,0x86d27a39b55fb7ab45954d905158e6f55486c50c6df683b89a6193dbdc23f696,ETH,60min,2026-07-29T11:00:00+00:00,80447.9,0.51,0.5,1.01,0.5,0.49
2026-07-28T12:39:12+00:00,3126499,0x64f562942f3f337603cd699648c241b4f3b2fdf1fed5616917be6223c9b16e91,ETH,60min,2026-07-29T12:00:00+00:00,84047.7,0.51,0.5,1.01,0.5,0.49
