ts_deteccion_utc,market_id,activo,ventana_min,direccion,lag_apertura_s,restante_s,py_ask_yes,profundidad_ratio,profundidad_ask
2026-08-21T08:12:16+00:00,3739015,BTC,5,BUY_YES,136.3,163.7,0.57,317.5,0.57
2026-08-21T08:15:02+00:00,3739056,BTC,15,BUY_NO,2.0,898.0,0.41,91.3,0.6
2026-08-21T08:15:03+00:00,3739052,BTC,5,BUY_NO,2.01,298.0,0.35,1066.3,0.62
2026-08-21T08:15:33+00:00,3739060,SOL,5,BUY_YES,33.62,266.4,0.56,66.9,0.57
2026-08-21T08:15:47+00:00,3739052,BTC,5,BUY_YES,46.94,253.1,0.57,428.9,0.57
2026-08-21T08:20:02+00:00,3739078,BTC,5,BUY_NO,2.01,298.0,0.42,213.4,0.58
2026-08-21T08:20:03+00:00,3739072,SOL,5,BUY_YES,3.42,296.6,0.55,55.1,0.55
2026-08-21T08:25:02+00:00,3739118,SOL,5,BUY_YES,2.01,298.0,0.69,556.7,0.56
2026-08-21T08:25:02+00:00,3739120,BTC,5,BUY_YES,2.21,297.8,0.62,947.7,0.62
2026-08-21T08:30:02+00:00,3739126,SOL,5,BUY_YES,2.0,298.0,0.63,265.7,0.58
2026-08-21T08:30:02+00:00,3739133,BTC,5,BUY_YES,2.0,298.0,0.55,329.9,0.55
2026-08-21T08:35:07+00:00,3739177,BTC,5,BUY_YES,2.17,297.8,0.6,638.5,0.6
2026-08-21T08:35:07+00:00,3739176,SOL,5,BUY_YES,2.01,298.0,0.7,136.2,0.7
2026-08-21T08:36:47+00:00,3739177,BTC,5,BUY_NO,107.16,192.8,0.36,0.0,0.69
2026-08-21T08:40:02+00:00,3739487,BTC,5,BUY_NO,2.03,298.0,0.45,186.0,0.56
2026-08-21T08:40:09+00:00,3739487,BTC,5,BUY_YES,9.67,290.3,0.58,171.8,0.58
2026-08-21T08:41:30+00:00,3739489,SOL,5,BUY_YES,90.58,209.4,0.59,184.0,0.58
2026-08-21T08:45:02+00:00,3739628,BTC,15,BUY_NO,2.02,898.0,0.43,78.7,0.58
2026-08-21T08:45:02+00:00,3739620,SOL,5,BUY_YES,2.03,298.0,0.64,388.4,0.57
2026-08-21T08:45:02+00:00,3739629,BTC,5,BUY_NO,2.0,298.0,0.39,557.0,0.62
2026-08-21T08:45:28+00:00,3739629,BTC,5,BUY_YES,25.02,275.0,0.57,0.0,0.6
2026-08-21T08:50:02+00:00,3739633,BTC,5,BUY_NO,2.02,298.0,0.35,945.6,0.66
2026-08-21T08:50:12+00:00,3739633,BTC,5,BUY_YES,12.79,287.2,0.55,8.8,0.57
2026-08-21T08:51:15+00:00,3739637,SOL,5,BUY_YES,75.0,225.0,0.55,25.0,0.55
2026-08-21T08:55:02+00:00,3739943,SOL,5,BUY_YES,2.0,298.0,0.6,117.1,0.6
2026-08-21T08:55:05+00:00,3739939,BTC,5,BUY_YES,4.99,295.0,0.55,0.0,0.59
2026-08-21T08:56:09+00:00,3739939,BTC,5,BUY_NO,69.62,230.4,0.45,0.0,0.58
2026-08-21T09:00:03+00:00,3739958,SOL,5,BUY_YES,2.02,298.0,0.62,389.8,0.54
2026-08-21T09:00:10+00:00,3739967,BTC,5,BUY_NO,10.39,289.6,0.45,0.0,0.6
2026-08-21T09:00:11+00:00,3739963,BTC,15,BUY_NO,11.43,888.6,0.44,2585.2,0.58
2026-08-21T09:05:02+00:00,3740155,SOL,5,BUY_YES,2.1,297.9,0.62,5.9,0.62
2026-08-21T09:05:03+00:00,3740162,BTC,5,BUY_YES,3.48,296.5,0.55,0.0,0.6
2026-08-21T09:05:33+00:00,3740162,BTC,5,BUY_NO,33.38,266.6,0.43,189.5,0.58
2026-08-21T09:10:02+00:00,3740171,SOL,5,BUY_YES,2.11,297.9,0.73,80.5,0.73
2026-08-21T09:10:02+00:00,3740168,BTC,5,BUY_YES,2.11,297.9,0.58,0.0,0.61
2026-08-21T09:15:02+00:00,3740281,BTC,15,BUY_NO,2.02,898.0,0.41,74.1,0.6
2026-08-21T09:15:04+00:00,3740286,BTC,5,BUY_NO,2.15,297.9,0.33,0.0,0.77
2026-08-21T09:18:24+00:00,3740284,SOL,5,BUY_YES,204.73,95.3,0.56,20.1,0.56
2026-08-21T09:20:03+00:00,3740296,SOL,5,BUY_YES,3.32,296.7,0.57,135.7,0.55
2026-08-21T09:20:05+00:00,3740299,BTC,5,BUY_NO,5.44,294.6,0.42,508.0,0.59
2026-08-21T09:20:48+00:00,3740299,BTC,5,BUY_YES,48.21,251.8,0.56,292.3,0.57
2026-08-21T09:25:03+00:00,3740541,SOL,5,BUY_YES,3.72,296.3,0.56,54.8,0.57
2026-08-21T09:25:06+00:00,3740535,BTC,5,BUY_YES,6.61,293.4,0.56,877.0,0.55
2026-08-21T09:25:37+00:00,3740535,BTC,5,BUY_NO,37.3,262.7,0.44,495.8,0.57
2026-08-21T09:30:04+00:00,3740691,SOL,5,BUY_YES,2.24,297.8,0.57,425.0,0.46
2026-08-21T09:30:05+00:00,3740692,BTC,5,BUY_NO,5.7,294.3,0.44,1261.9,0.54
2026-08-21T09:30:23+00:00,3740689,BTC,15,BUY_NO,23.17,876.8,0.45,406.1,0.55
2026-08-21T09:31:34+00:00,3740692,BTC,5,BUY_YES,94.24,205.8,0.55,711.5,0.55
2026-08-21T09:35:02+00:00,3740969,BTC,5,BUY_NO,2.0,298.0,0.43,94.9,0.59
