fecha,address,categoria,pnl_dia,n_cierres
2026-09-21,0x2070F45C22E44a52CB42210d1112a0Bfb6A9A0c7,otros,89.5009,518
2026-09-21,0xC914238Dde217bc37F768B9eE5F8FBF973aeD746,otros,1959.93,194
2026-09-21,0x0034DC43DeACf5060035Db189A094568Dad45b7F,otros,-9740.8605,4650
2026-09-21,0x0034DC43DeACf5060035Db189A094568Dad45b7F,metales_petroleo,115.4206,36
2026-09-21,0x0034DC43DeACf5060035Db189A094568Dad45b7F,memecoins,2482.8882,628
2026-09-21,0x33b63A54A4183C8BdE1C324069fF4e3CA03E95CD,otros,-1177.8342,239
2026-09-21,0x059E90484026c6BB3d4cc6dEe64DB2CCF29D891f,otros,-154.8864,215
2026-09-21,0xB6287efe7A7702402dd8342963DBEfE51e44F2EB,otros,-709.7946,641
2026-09-21,0xfc1B24B1749F71b797029C34F5fa30D528539107,metales_petroleo,303.7889,19
2026-09-21,0x4A2479F81FC411ade23a50e2425786C248346936,metales_petroleo,165.9285,17
2026-09-21,0xC914238Dde217bc37F768B9eE5F8FBF973aeD746,memecoins,6.1659,118
2026-09-21,0x7930Ee98013FA1aEaC08872A88E677dc925aD132,otros,-362.167,43
2026-09-21,0xfc1B24B1749F71b797029C34F5fa30D528539107,otros,-4288.9497,253
2026-09-21,0x4A2479F81FC411ade23a50e2425786C248346936,otros,-1447.6983,6
