ts_entrada,activo,nesting,combo,coste,n_shares,coste_total_usd,ask_leg1,ask_leg2,gap_opens_pct,depth_usd,min_orden_ok,end_utc,inner_slug,outer_slug,status,ts_cierre,gano_leg1,gano_leg2,payout_por_share,pnl_usd,garantia_ok,pasa_filtro,persistio_ciclo_anterior
2026-07-11T03:10:10+00:00,BTC,5min15m,NOout+YESin,0.88,11.36,9.9968,0.48,0.4,-0.0578,68.78,1,2026-07-11T03:15:00+00:00,btc-updown-5m-1783739400,btc-updown-15m-1783738800,OPEN,,,,,,,0,0
2026-07-11T03:10:10+00:00,ETH,5min15m,NOout+YESin,0.97,10.31,10.0007,0.5,0.47,-0.0696,10.07,1,2026-07-11T03:15:00+00:00,eth-updown-5m-1783739400,eth-updown-15m-1783738800,OPEN,,,,,,,0,0
2026-07-11T03:10:11+00:00,XRP,5min15m,NOout+YESin,0.84,11.9,9.996,0.36,0.48,-0.009,18.01,1,2026-07-11T03:15:00+00:00,xrp-updown-5m-1783739400,xrp-updown-15m-1783738800,OPEN,,,,,,,1,0
2026-07-11T03:45:10+00:00,BTC,15min60m,NOout+YESin,0.99,10.1,9.999,0.54,0.45,-0.0232,36.02,1,2026-07-11T04:00:00+00:00,btc-updown-15m-1783741500,bitcoin-up-or-down-july-10-2026-11pm-et,CLOSED,2026-07-11T04:04:01+00:00,1,0,1,0.101,1,1,0
2026-07-11T04:25:12+00:00,ETH,5min15m,NOout+YESin,0.89,11.24,10.0036,0.33,0.56,-0.0075,15.42,1,2026-07-11T04:30:00+00:00,eth-updown-5m-1783743900,eth-updown-15m-1783743300,CLOSED,2026-07-11T04:32:01+00:00,1,0,1,1.2364,1,1,0
2026-07-11T04:26:12+00:00,XRP,5min15m,YESout+NOin,0.72,13.89,10.0008,0.46,0.26,0.0,16.57,1,2026-07-11T04:30:00+00:00,xrp-updown-5m-1783743900,xrp-updown-15m-1783743300,CLOSED,2026-07-11T04:32:01+00:00,0,1,1,3.8892,1,1,0
2026-07-11T04:55:15+00:00,BTC,5min15m,YESout+NOin,0.56,17.86,10.0016,0.17,0.39,0.0248,45.49,1,2026-07-11T05:00:00+00:00,btc-updown-5m-1783745700,btc-updown-15m-1783745100,OPEN,,,,,,,1,0
2026-07-11T05:25:13+00:00,BTC,5min15m,NOout+YESin,0.68,14.71,10.0028,0.13,0.55,-0.0031,46.9,1,2026-07-11T05:30:00+00:00,btc-updown-5m-1783747500,btc-updown-15m-1783746900,OPEN,,,,,,,1,0
2026-07-11T05:40:13+00:00,BTC,5min15m,YESout+NOin,0.88,11.36,9.9968,0.23,0.65,0.066,15.52,1,2026-07-11T05:45:00+00:00,btc-updown-5m-1783748400,btc-updown-15m-1783747800,OPEN,,,,,,,0,0
2026-07-11T05:55:13+00:00,ETH,5min15m,NOout+YESin,0.93,10.75,9.9975,0.37,0.56,-0.0306,36.62,1,2026-07-11T06:00:00+00:00,eth-updown-5m-1783749300,eth-updown-15m-1783748700,OPEN,,,,,,,1,0
2026-07-11T05:57:14+00:00,SOL,5min15m,YESout+NOin,0.92,10.87,10.0004,0.52,0.4,0.0128,15.04,1,2026-07-11T06:00:00+00:00,sol-updown-5m-1783749300,sol-updown-15m-1783748700,CLOSED,2026-07-11T06:02:01+00:00,1,0,1,0.8696,1,1,1
2026-07-11T06:40:11+00:00,BTC,5min15m,YESout+NOin,0.96,10.42,10.0032,0.44,0.52,0.0296,104.92,1,2026-07-11T06:45:00+00:00,btc-updown-5m-1783752000,btc-updown-15m-1783751400,OPEN,,,,,,,1,0
2026-07-11T06:55:14+00:00,BTC,5min15m,NOout+YESin,0.86,11.63,10.0018,0.37,0.49,-0.033,74.74,1,2026-07-11T07:00:00+00:00,btc-updown-5m-1783752900,btc-updown-15m-1783752300,OPEN,,,,,,,1,0
