timestamp_utc,ts_end,dry_run,activo,direccion_implicita,ask_implicita,gate_confirmado,gate_motivo,ratio_vs_stake,vwap_fill_estimado,t_lectura_ms,t_firma_ms,t_total_ms,disparado,order_ok,order_error
2026-09-05T19:34:58+00:00,1788636900,True,XRP,Down,0.01,False,ninguno_confirma,0.5,0.016797,56.0,,,,,
2026-09-05T19:34:58+00:00,1788636900,True,DOGE,Down,,False,sin_ask,,,64.2,,,,,
2026-09-05T19:34:58+00:00,1788636900,True,BNB,Up,,False,sin_ask,,,58.0,,,,,
2026-09-05T19:39:58+00:00,1788637200,True,BTC,Down,,False,sin_ask,,,73.6,,,,,
2026-09-05T19:39:58+00:00,1788637200,True,ETH,Down,,False,sin_ask,,,62.5,,,,,
2026-09-05T19:39:58+00:00,1788637200,True,SOL,Down,,False,sin_ask,,,61.5,,,,,
2026-09-05T19:39:58+00:00,1788637200,True,XRP,Down,,False,sin_ask,,,63.5,,,,,
2026-09-05T19:39:58+00:00,1788637200,True,DOGE,Down,,False,sin_ask,,,69.5,,,,,
2026-09-05T19:39:58+00:00,1788637200,True,BNB,Down,,False,sin_ask,,,60.7,,,,,
2026-09-05T19:44:58+00:00,1788637500,True,BTC,Up,,False,sin_ask,,,71.6,,,,,
2026-09-05T19:44:58+00:00,1788637500,True,ETH,Up,,False,sin_ask,,,58.3,,,,,
2026-09-05T19:44:58+00:00,1788637500,True,SOL,Up,,False,sin_ask,,,54.1,,,,,
2026-09-05T19:44:58+00:00,1788637500,True,XRP,Up,,False,sin_ask,,,59.2,,,,,
2026-09-05T19:44:58+00:00,1788637500,True,DOGE,Up,,False,sin_ask,,,54.8,,,,,
2026-09-05T19:44:58+00:00,1788637500,True,BNB,Up,,False,sin_ask,,,54.4,,,,,
2026-09-05T19:49:58+00:00,1788637800,True,BTC,Down,,False,sin_ask,,,71.8,,,,,
2026-09-05T19:49:58+00:00,1788637800,True,ETH,Down,,False,sin_ask,,,59.7,,,,,
2026-09-05T19:49:58+00:00,1788637800,True,SOL,Down,,False,sin_ask,,,58.4,,,,,
2026-09-05T19:49:58+00:00,1788637800,True,XRP,Down,,False,sin_ask,,,56.4,,,,,
2026-09-05T19:49:58+00:00,1788637800,True,DOGE,Down,,False,sin_ask,,,74.2,,,,,
2026-09-05T19:49:58+00:00,1788637800,True,BNB,Down,,False,sin_ask,,,52.0,,,,,
2026-09-05T19:54:58+00:00,1788638100,True,BTC,Up,,False,sin_ask,,,77.2,,,,,
2026-09-05T19:54:58+00:00,1788638100,True,ETH,Up,,False,sin_ask,,,70.1,,,,,
2026-09-05T19:54:58+00:00,1788638100,True,SOL,Up,,False,sin_ask,,,58.4,,,,,
2026-09-05T19:54:58+00:00,1788638100,True,XRP,Up,,False,sin_ask,,,58.8,,,,,
2026-09-05T19:54:58+00:00,1788638100,True,DOGE,Up,,False,sin_ask,,,59.7,,,,,
2026-09-05T19:54:58+00:00,1788638100,True,BNB,Down,,False,sin_ask,,,59.1,,,,,
2026-09-05T19:59:58+00:00,1788638400,True,BTC,Up,0.01,False,ninguno_confirma,246.4,0.01,98.9,,,,,
2026-09-05T19:59:58+00:00,1788638400,True,ETH,Up,,False,sin_ask,,,55.6,,,,,
2026-09-05T19:59:58+00:00,1788638400,True,SOL,Up,,False,sin_ask,,,58.6,,,,,
2026-09-05T19:59:58+00:00,1788638400,True,XRP,Down,,False,sin_ask,,,53.3,,,,,
2026-09-05T19:59:58+00:00,1788638400,True,DOGE,Up,,False,sin_ask,,,58.9,,,,,
2026-09-05T19:59:58+00:00,1788638400,True,BNB,Down,,False,sin_ask,,,58.2,,,,,
2026-09-05T20:04:58+00:00,1788638700,True,BTC,Down,,False,sin_ask,,,60.7,,,,,
2026-09-05T20:04:58+00:00,1788638700,True,ETH,Down,,False,sin_ask,,,59.3,,,,,
2026-09-05T20:04:58+00:00,1788638700,True,SOL,Down,,False,sin_ask,,,59.8,,,,,
2026-09-05T20:04:58+00:00,1788638700,True,XRP,Down,,False,sin_ask,,,63.2,,,,,
2026-09-05T20:04:58+00:00,1788638700,True,DOGE,Down,,False,sin_ask,,,56.5,,,,,
2026-09-05T20:04:58+00:00,1788638700,True,BNB,Down,,False,sin_ask,,,64.6,,,,,
2026-09-05T20:09:58+00:00,1788639000,True,BTC,Up,,False,sin_ask,,,66.9,,,,,
2026-09-05T20:09:58+00:00,1788639000,True,ETH,Up,,False,sin_ask,,,59.7,,,,,
2026-09-05T20:09:58+00:00,1788639000,True,SOL,Up,,False,sin_ask,,,61.2,,,,,
2026-09-05T20:09:58+00:00,1788639000,True,XRP,Up,,False,sin_ask,,,66.0,,,,,
2026-09-05T20:09:58+00:00,1788639000,True,DOGE,Up,,False,sin_ask,,,61.3,,,,,
2026-09-05T20:09:58+00:00,1788639000,True,BNB,Up,,False,sin_ask,,,54.9,,,,,
2026-09-05T20:14:58+00:00,1788639300,True,BTC,Down,,False,sin_ask,,,152.2,,,,,
2026-09-05T20:14:58+00:00,1788639300,True,ETH,Up,,False,sin_ask,,,71.9,,,,,
2026-09-05T20:14:58+00:00,1788639300,True,SOL,Up,,False,sin_ask,,,59.4,,,,,
2026-09-05T20:14:58+00:00,1788639300,True,XRP,Down,,False,sin_ask,,,58.3,,,,,
2026-09-05T20:14:58+00:00,1788639300,True,DOGE,Up,,False,sin_ask,,,59.1,,,,,
2026-09-05T20:14:58+00:00,1788639300,True,BNB,Down,,False,sin_ask,,,61.0,,,,,
2026-09-05T20:19:58+00:00,1788639600,True,BTC,Down,,False,sin_ask,,,62.5,,,,,
2026-09-05T20:19:58+00:00,1788639600,True,ETH,Down,,False,sin_ask,,,54.5,,,,,
2026-09-05T20:19:58+00:00,1788639600,True,SOL,Down,,False,sin_ask,,,54.3,,,,,
2026-09-05T20:19:58+00:00,1788639600,True,XRP,Down,,False,sin_ask,,,58.3,,,,,
2026-09-05T20:19:58+00:00,1788639600,True,DOGE,Down,,False,sin_ask,,,61.2,,,,,
2026-09-05T20:19:58+00:00,1788639600,True,BNB,Down,,False,sin_ask,,,61.8,,,,,
2026-09-05T20:24:58+00:00,1788639900,True,BTC,Up,,False,sin_ask,,,75.4,,,,,
2026-09-05T20:24:58+00:00,1788639900,True,ETH,Up,,False,sin_ask,,,58.2,,,,,
2026-09-05T20:24:58+00:00,1788639900,True,SOL,Up,,False,sin_ask,,,72.5,,,,,
2026-09-05T20:24:58+00:00,1788639900,True,XRP,Up,,False,sin_ask,,,118.0,,,,,
2026-09-05T20:24:58+00:00,1788639900,True,DOGE,Up,,False,sin_ask,,,56.2,,,,,
2026-09-05T20:24:58+00:00,1788639900,True,BNB,Up,,False,sin_ask,,,61.0,,,,,
2026-09-05T20:29:58+00:00,1788640200,True,BTC,Down,,False,sin_ask,,,103.7,,,,,
2026-09-05T20:29:58+00:00,1788640200,True,ETH,Down,,False,sin_ask,,,49.1,,,,,
2026-09-05T20:29:58+00:00,1788640200,True,SOL,Down,,False,sin_ask,,,60.5,,,,,
2026-09-05T20:29:58+00:00,1788640200,True,XRP,Down,,False,sin_ask,,,52.6,,,,,
2026-09-05T20:29:58+00:00,1788640200,True,DOGE,Down,,False,sin_ask,,,53.8,,,,,
2026-09-05T20:29:58+00:00,1788640200,True,BNB,Down,,False,sin_ask,,,54.5,,,,,
2026-09-05T20:34:58+00:00,1788640500,True,BTC,Down,0.01,False,ninguno_confirma,252.5,0.01,68.2,,,,,
2026-09-05T20:34:58+00:00,1788640500,True,ETH,Down,,False,sin_ask,,,54.8,,,,,
2026-09-05T20:34:58+00:00,1788640500,True,SOL,Down,,False,sin_ask,,,51.0,,,,,
2026-09-05T20:34:58+00:00,1788640500,True,XRP,Up,0.01,False,ninguno_confirma,18.6,0.01,56.0,,,,,
2026-09-05T20:34:58+00:00,1788640500,True,DOGE,Down,,False,sin_ask,,,56.5,,,,,
2026-09-05T20:34:58+00:00,1788640500,True,BNB,Down,,False,sin_ask,,,51.5,,,,,
2026-09-05T20:39:58+00:00,1788640800,True,BTC,Up,0.01,False,ninguno_confirma,248.2,0.01,67.7,,,,,
2026-09-05T20:39:58+00:00,1788640800,True,ETH,Up,,False,sin_ask,,,57.2,,,,,
2026-09-05T20:39:58+00:00,1788640800,True,SOL,Up,,False,sin_ask,,,58.2,,,,,
2026-09-05T20:39:58+00:00,1788640800,True,XRP,Up,,False,sin_ask,,,54.0,,,,,
2026-09-05T20:39:58+00:00,1788640800,True,DOGE,Up,,False,sin_ask,,,71.6,,,,,
2026-09-05T20:39:58+00:00,1788640800,True,BNB,Up,,False,sin_ask,,,64.0,,,,,
2026-09-05T20:44:58+00:00,1788641100,True,BTC,Up,,False,sin_ask,,,69.5,,,,,
2026-09-05T20:44:58+00:00,1788641100,True,ETH,Up,,False,sin_ask,,,57.7,,,,,
2026-09-05T20:44:58+00:00,1788641100,True,SOL,Up,,False,sin_ask,,,52.8,,,,,
2026-09-05T20:44:58+00:00,1788641100,True,XRP,Up,,False,sin_ask,,,51.1,,,,,
2026-09-05T20:44:58+00:00,1788641100,True,DOGE,Up,,False,sin_ask,,,53.5,,,,,
2026-09-05T20:44:58+00:00,1788641100,True,BNB,Up,,False,sin_ask,,,52.9,,,,,
2026-09-05T20:49:58+00:00,1788641400,True,BTC,Down,,False,sin_ask,,,69.9,,,,,
2026-09-05T20:49:58+00:00,1788641400,True,ETH,Up,,False,sin_ask,,,58.9,,,,,
2026-09-05T20:49:58+00:00,1788641400,True,SOL,Down,,False,sin_ask,,,52.4,,,,,
2026-09-05T20:49:58+00:00,1788641400,True,XRP,Down,,False,sin_ask,,,56.2,,,,,
2026-09-05T20:49:58+00:00,1788641400,True,DOGE,Down,0.01,False,ninguno_confirma,30.6,0.01,55.6,,,,,
2026-09-05T20:49:58+00:00,1788641400,True,BNB,Up,,False,sin_ask,,,60.1,,,,,
2026-09-05T20:54:58+00:00,1788641700,True,BTC,Down,,False,sin_ask,,,79.0,,,,,
2026-09-05T20:54:58+00:00,1788641700,True,ETH,Down,,False,sin_ask,,,56.1,,,,,
2026-09-05T20:54:58+00:00,1788641700,True,SOL,Down,,False,sin_ask,,,54.7,,,,,
2026-09-05T20:54:58+00:00,1788641700,True,XRP,Down,,False,sin_ask,,,53.0,,,,,
2026-09-05T20:54:58+00:00,1788641700,True,DOGE,Down,,False,sin_ask,,,53.9,,,,,
2026-09-05T20:54:58+00:00,1788641700,True,BNB,Down,,False,sin_ask,,,75.8,,,,,
2026-09-05T20:59:58+00:00,1788642000,True,BTC,Down,0.01,False,ninguno_confirma,319.0,0.01,67.7,,,,,
