timestamp_utc,rank_combined,address,username,pnl,vol,rank_pnl,rank_vol,score,verified_badge,x_username
2026-06-19T10:34:49+00:00,42,0x9097b9fd27dd69aa8170e1b16f1b8b839ad70ef0,kahanetzadak,-21984.653357296826,12010828.932663996,,17,0.264,False,
2026-06-19T10:34:49+00:00,43,0x927f7694de44d19a72bce76254e628d1c141d215,baloneigh,62088.36059969307,2582867.456963,29,,0.252,False,
2026-06-19T10:34:49+00:00,44,0x997cda7b31612e3c394bfb55440619f3f689251e,coinfilippe,3629.5709638989065,9664484.784495,,19,0.248,False,
2026-06-19T10:34:49+00:00,45,0xf0d5eb1cbe7350f1f896ade6c172e6700414c665,yen4u,61812.16712366765,325655.7134639999,30,,0.24,False,
2026-06-19T10:34:49+00:00,46,0x45bc74efa620b45c02308acaecdff1f7c06f978b,poorersob,2050.724280513823,9327968.272508,,20,0.24,False,
2026-06-19T10:34:49+00:00,47,0xf3ce251f9c4ae0f3940a9f32de5dd1a1d05b8bc6,0xF3Ce251F9c4ae0f3940A9f32dE5Dd1A1d05B8Bc6-1778725794122,40291.64540929024,9288097.643999998,,21,0.232,False,
2026-06-19T10:34:49+00:00,48,0x10dd34c32ddbeff39219a509cb9a617d5afee5fc,0x10dd34C32DDBeff39219a509cB9a617D5AfeE5fc-1781142990471,61706.720578557586,264425.9195,31,,0.228,False,
2026-06-19T10:34:49+00:00,49,0xa8b202e6e9a4c2091b6860f1f5c9e9119bbc9a39,CongMingLabs,34979.661411,8679816.727438001,,24,0.208,False,CongMingLabs
2026-06-19T10:34:49+00:00,50,0x8cb0e35148f57403e8e785ed13c7bbb2f34f9811,Blablablablabla7,55203.548642,6058999.960750001,34,48,0.208,False,
2026-06-19T17:03:31+00:00,1,0xeebde7a0e019a63e6b476eb425505b7b3e6eba30,Bonereaper,180090.70773611357,38170238.73149101,3,0,0.964,False,
2026-06-19T17:03:31+00:00,2,0x06dc51826bc524d9a83770e7de9dd7e005b04524,0x06dc51826bc524d9a83770e7de9dd7e005b0452,170342.14517455426,24836492.300286,5,3,0.916,False,
2026-06-19T17:03:31+00:00,3,0xdf17f4a8dd01a4cfa6fc3da323a2baee5f8697d1,PatrocIus,125583.84259057445,31850759.9417,9,1,0.884,False,
2026-06-19T17:03:31+00:00,4,0xb27bc932bf8110d8f78e55da7d5f0497a18b5b82,,113015.19572835427,28571524.989368,13,2,0.828,False,
2026-06-19T17:03:31+00:00,5,0xb55fa1296e6ec55d0ce53d93b9237389f11764d4,0xb55fa1296E6ec55D0cE53d93B9237389f11764d4-1777575277609,153099.01960985787,15500004.545120005,8,10,0.824,False,
2026-06-19T17:03:31+00:00,6,0xee65685de42f8de9a03b4c53ee77d56a20d2cfc9,0x50f7,124728.01649706397,16789802.751566004,10,8,0.816,False,
2026-06-19T17:03:31+00:00,7,0x9501ec3b8b3e330ae593ebe5b071c3d11b648223,horizon.,85410.663304,14725976.431862,18,12,0.688,False,
2026-06-19T17:03:31+00:00,8,0xce25e214d5cfe4f459cf67f08df581885aae7fdc,0xcE25E214D5cfE4f459cf67F08DF581885AAE7Fdc-1777575398144,119592.13640613295,8819894.400461998,12,23,0.672,False,
2026-06-19T17:03:31+00:00,9,0x5bb0de4e97698184ead80c80cb17a26cd6f6814b,bobe2.1,74019.459258,18640405.627466,23,7,0.668,False,
2026-06-19T17:03:31+00:00,10,0xf284ad6d607f777f34bc643cea587c33a886b9f9,strike123,467253.7928659568,3746218.9669149998,0,,0.6,False,
2026-06-19T17:03:31+00:00,11,0x0f0edbb5fca07a7efffe283624f085a7b2e2a019,prayingnotbroke,225020.685792,622024.5894010001,1,,0.588,False,
2026-06-19T17:03:31+00:00,12,0x44c1dfe43260c94ed4f1d00de2e1f80fb113ebc1,aenews2,204973.89813025005,2377442.839706,2,,0.576,False,aenews
2026-06-19T17:03:31+00:00,13,0x02e7f29f3e612a95a9ccca7131ce7dd5d56b59e5,CAR-GangVersion,66172.659345228,14157607.841587,27,13,0.572,False,
2026-06-19T17:03:31+00:00,14,0x565ca59275f81991bd9877d7fa8404c5ecf6519e,bbwlover,171230.67878165888,1025813.1164160001,4,,0.552,False,
2026-06-19T17:03:31+00:00,15,0x55be7aa03ecfbe37aa5460db791205f7ac9ddca3,coinman2,165274.85540532134,1889094.11916,6,,0.528,False,
2026-06-19T17:03:31+00:00,16,0x6bab41a0dc40d6dd4c1a915b8c01969479fd1292,Dropper,158542.754008535,673779.806155,7,,0.516,False,DropperPM
2026-06-19T17:03:31+00:00,17,0x9f5ffe76a818dce37c70f947998b52b70671a008,0x9F5fFE76a818DCE37c70F947998b52b70671A008-1772728605528,89616.54319614827,6714285.774402001,17,35,0.516,False,
2026-06-19T17:03:31+00:00,18,0x4834f8ba3454b8c3bae2cac7d235ba1adc0b1bfa,Surpriced-Legacy,121959.61642089539,496196.1417079999,11,,0.468,False,BTCBeliever21
2026-06-19T17:03:31+00:00,19,0xa2cd4ccda9a1f95949df7a3355c4c2daa0642ba0,0xA2cd4CcdA9A1f95949DF7A3355C4c2DAa0642Ba0-1729178570395,100422.39256200001,6084029.820985001,15,47,0.444,False,
2026-06-19T17:03:31+00:00,20,0xf705fa045201391d9632b7f3cde06a5e24453ca7,,102116.5842756317,4028690.859813,14,,0.432,False,
2026-06-19T17:03:31+00:00,21,0xed107a85a4585a381e48c7f7ca4144909e7dd2e5,elmcap2,57644.259963301636,8597145.408084001,32,26,0.408,False,elm_cap
2026-06-19T17:03:31+00:00,22,0xcc500cbcc8b7cf5bd21975ebbea34f21b5644c82,justdance,99100.23409415828,3832873.1243229993,16,,0.408,False,
2026-06-19T17:03:31+00:00,23,0x72a0d79b4325638bc2bcfc9a2b8a380c2d81c059,,83836.47263574955,1801989.0324529998,19,,0.372,False,
2026-06-19T17:03:31+00:00,24,0x6480542954b70a674a74bd1a6015dec362dc8dc5,tripping,122.89639246449951,23096624.543477997,,4,0.368,False,
2026-06-19T17:03:31+00:00,25,0xe9076a87c5ed90ef16e6fe6529c943baeca0cff6,suntori,-278725.421835118,22519424.716475,,5,0.36,False,
